postproc_funcs,"['safe_inverse', 'lambda x: x', 'lambda x: x**2', 'lambda x: safe_inverse(x**2)']",target_name,pi
"a poly [a_0, a_1, ...]","b poly  [b_0, b_1, ...]",procpost_func index,u,l,c,d,convergence type,convergence rate,postfunc(cont_frac),(u/pi+pi/l+c)/d
"((-2, -4, 0),)","((0, 0, 4),)",0,0,-8,0,1,exp,"(Decimal('5.7043606782884460005619539584213830853619695150612'), Decimal('0.28868204918080479532529589333037467083354339972404'))",-0.39269908169872415480783042290993786052464617492189,-0.39269908169872415480783042290993786052464617492189
"((-1, -3, 0),)","((0, 3, -2),)",0,0,-4,0,1,exp,"(Decimal('2.0752334124869997309695431803096188234447979827454'), Decimal('0.000012115226814066644141373533032091195307475180843018'))",-0.78539816339744830961566084581987572104929234984375,-0.78539816339744830961566084581987572104929234984378
"((-1, -2, 0),)","((0, 0, 1),)",0,0,-4,0,1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.78539816339744830961566084581987572104929234984375,-0.78539816339744830961566084581987572104929234984378
"((-3, -2, 0),)","((0, 2, 1),)",0,0,-2,1,2,exp,"(Decimal('5.5927546452034493485180627018944079523584248491749'), Decimal('0.086806394802847497207795416430468008067816257312571'))",-0.28539816339744830961566084581987572104929234984378,-0.2853981633974483096156608458198757210492923498438
"((-3, -3, 0),)","((1, -1, -2),)",1,0,-2,-1,1,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((-2, -3, 0),)","((0, 1, -2),)",0,0,-2,1,1,exp,"(Decimal('1.9690474042681353942274153074636435753241144846853'), Decimal('0.000014417960682885627251335827497608316925627534934713'))",-0.57079632679489661923132169163975144209858469968757,-0.5707963267948966192313216916397514420985846996876
"((-1, -3, 0),)","((0, 1, -2),)",0,0,-2,0,1,exp,"(Decimal('2.0109264776729759841279917831604812021146454546103'), Decimal('0.062657414871589625139407399762346564589292662942333'))",-1.5707963267948966192313216916397514420985846996875,-1.5707963267948966192313216916397514420985846996876
"((-1, 3, 0),)","((0, 3, -2),)",0,0,-2,-2,1,exp,"(Decimal('1.9889538469320156152466688387945126995546870724202'), Decimal('0.78814919120628653700073013840872172884166117528706'))",-3.5707963267948966192313216916397514420985846996875,-3.5707963267948966192313216916397514420985846996876
"((0, -3, 0),)","((0, 3, -2),)",0,0,-2,-1,1,exp,"(Decimal('2.0296624756336420651166786434908683879687164757356'), Decimal('0.0012482946560523558422958023408205306587098064864357'))",-2.5707963267948966192313216916397514420985846996875,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,-2,-1,-1,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,-1,-2,2,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,-1,-2,-2,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,1,2,-2,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,1,2,2,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,2,1,-1,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,2,1,1,exp,"(Decimal('2.0364334581975886687564553989488264960834145719757'), Decimal('0.0056336422172074763301383911049003839400419521746383'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
